win,lose,probability
Detroit Pistons,Memphis Grizzlies,0.668197875375857
Oklahoma City Thunder,New Orleans Pelicans,0.8367426638677044
Houston Rockets,Phoenix Suns,0.778466989450081
Portland Trail Blazers,Dallas Mavericks,0.6618252285940409
Utah Jazz,Sacramento Kings,0.6690324818994352
Golden State Warriors,Brooklyn Nets,0.9483139588515715
Indiana Pacers,Boston Celtics,0.5751803723858677
San Antonio Spurs,Los Angeles Clippers,0.5525790198530938
Miami Heat,Los Angeles Lakers,0.8861488553178497
Orlando Magic,New York Knicks,0.5598986338129606
Oklahoma City Thunder,Boston Celtics,0.5290416728491427
Charlotte Hornets,Chicago Bulls,0.6982246907112838
Cleveland Cavaliers,Brooklyn Nets,0.9559603893339869
Atlanta Hawks,Denver Nuggets,0.6495072144331204
Golden State Warriors,Detroit Pistons,0.7523989948713795
Los Angeles Clippers,Dallas Mavericks,0.7361101519343061
Houston Rockets,Memphis Grizzlies,0.559667063250249
Washington Wizards,Milwaukee Bucks,0.614690136007662
Minnesota Timberwolves,Sacramento Kings,0.5111684537085919
Miami Heat,New Orleans Pelicans,0.7421205855004764
Orlando Magic,Los Angeles Lakers,0.7441084614437525
Phoenix Suns,Philadelphia 76ers,0.6539395884505455
San Antonio Spurs,Portland Trail Blazers,0.6377255216069952
Toronto Raptors,Utah Jazz,0.6347373051069556
Cleveland Cavaliers,Golden State Warriors,0.5622898416057068
Los Angeles Clippers,Los Angeles Lakers,0.9066161609406339
Boston Celtics,New York Knicks,0.7271730063667625
Oklahoma City Thunder,Minnesota Timberwolves,0.9167633427333499
San Antonio Spurs,Chicago Bulls,0.9069097831113357
Charlotte Hornets,Brooklyn Nets,0.8428565318753589
Indiana Pacers,Chicago Bulls,0.5113558166978616
Cleveland Cavaliers,Detroit Pistons,0.671722753841371
Houston Rockets,Phoenix Suns,0.7840853629530407
Los Angeles Clippers,Denver Nuggets,0.8421234672280135
Atlanta Hawks,Minnesota Timberwolves,0.6639702801333819
Dallas Mavericks,New Orleans Pelicans,0.6642907742794978
Orlando Magic,Memphis Grizzlies,0.5180015981330619
Toronto Raptors,Portland Trail Blazers,0.5214346862015495
Sacramento Kings,Philadelphia 76ers,0.818115488825759
Washington Wizards,Milwaukee Bucks,0.7164939027675794
Boston Celtics,Memphis Grizzlies,0.757802618473728
Dallas Mavericks,Houston Rockets,0.5306179379665883
Utah Jazz,Los Angeles Lakers,0.8548338770768715
Oklahoma City Thunder,Miami Heat,0.5499255837537276
Atlanta Hawks,New York Knicks,0.8116426858959749
Chicago Bulls,Brooklyn Nets,0.8015314940676493
Denver Nuggets,Minnesota Timberwolves,0.566848131267657
Detroit Pistons,Milwaukee Bucks,0.7467344778973642
Golden State Warriors,Toronto Raptors,0.8582938254724134
Los Angeles Clippers,New Orleans Pelicans,0.7700005813019538
Charlotte Hornets,Orlando Magic,0.6247117344990514
Portland Trail Blazers,Sacramento Kings,0.7632562453337862
San Antonio Spurs,Phoenix Suns,0.96328424248706
Washington Wizards,Indiana Pacers,0.5300283947439483
Charlotte Hornets,Miami Heat,0.6046652112774915
Cleveland Cavaliers,Boston Celtics,0.8086646940608376
Dallas Mavericks,Los Angeles Lakers,0.8515943576388022
Oklahoma City Thunder,Memphis Grizzlies,0.7621837855703997
Toronto Raptors,Phoenix Suns,0.8794412187497098
Utah Jazz,Philadelphia 76ers,0.8880480890427561
Atlanta Hawks,Detroit Pistons,0.7132141096620681
Boston Celtics,Miami Heat,0.6132209284093139
Denver Nuggets,Philadelphia 76ers,0.8139660262968291
Golden State Warriors,Dallas Mavericks,0.9281371972045623
Los Angeles Clippers,Houston Rockets,0.5661708169778313
